"idLU"	"name"	"senseDescription"
12563	slide.v	COD: move along a smooth surface, especially downwards, while maintaining continuous contact with it.
12564	swerve.v	COD: abruptly diverge or from a straight course
12565	snake.v	FN: to move with a twisting motion like that of a snake
12566	meander.v	COD: follow a winding course, or wander aimlessly. 
12567	undulate.v	COD: move with a smooth wave-like motion
12568	weave.v	COD: move from side to side to progress around obstructions.
12569	wind.v	FN: to move in a twisting course
12570	zigzag.v	FN: to move in a back and forth manner while proceeding forward
12571	circle.v	FN: move in a circle
12572	spiral.v	FN: go in a spiral course.
12573	swing.v	FN: move quickly changing direction
12574	travel.v	FN: move.
12575	come.v	FN: move (towards the speaker).
12576	clone.n	COD: a person or thing regarded as identical with another; a copy or double. 
12577	copy.n	COD: a thing made to be similar or identical to another. 
12578	copy.v	COD: make a copy of. 
12579	duplicate.n	COD: one of two or more identical things. 
12580	duplicate.v	COD: make or be an exact copy of. 
12581	photocopy.n	COD: a photographic copy of something produced by a process involving the action of light on a specially prepared surface. 
12582	photocopy.v	COD: make a photocopy of. 
12583	reduplicate.v	COD: repeat or copy so as to form another of the same kind. 
12584	replicate.v	COD: make an exact copy of; reproduce. 
12585	reproduce.v	COD: produce a copy or representation of. 
12586	replica.n	COD: an exact copy or model of something, especially one on a smaller scale. 
12587	duplication.n	FN: the fact of making an exact copy
12588	run off.v	COD: produce a copy on a machine.
12589	clone.v	FN: to produce an effectively indistinguishible copy of.
12590	counterfeit.v	FN: to imitate, usually an emotion or event
12591	fake.v	FN: to imitate an action or emotion intending to be believed
12592	feign.v	COD: pretend to be affected by.
12593	stage.v	FN: fake or imitate
12594	affect.v	FN: pretend to have a property or be in a particular state
12595	pretend.v	COD: act so as to make it appear that something is the case when in fact it is not.
12596	simulate.v	FN: feign
12597	amalgamate.v	COD: combine or unite to form one organization or structure.
12598	combine.v	COD: unite; merge; unite to form a compound
12599	fuse.v	FN: to cause two or more entities to blend together
12600	join.v	FN: cause to be fused with and connected to. 
12601	merge.v	FN: to cause one or more entities to become one
12602	unify.v	COD: make or become united or uniform.
12603	unite.v	FN: to cause two or more entities to blend together to form a whole
12604	meld.v	FN: to cause one item to blend with at least one additional item
12605	blend.v	FN: to mix something with something else
12606	commingle.v	FN: to cause on item to blend together with another item
12607	intermix.v	FN: to cause two or more items to become blended together
12608	mix.v	FN: combine to form a whole
12609	lump.v	COD: put in an indiscriminate mass or group. 
12610	bring together.v	FN: join two or more items .
12611	coalesce.v	FN: bring together
12612	compound.v	COD: mix or combine (ingredients or constituents).
12613	conflate.v	COD: combine into one.
12614	consolidate.v	COD: combine into a single unit.
12615	flux.v	COD: treat (a metal object) with a flux to promote melting. 
12616	admix.v	COD: mix with something else.
12617	jumble.v	COD:  mix up in a confused way.
12618	pair.v	FN: join two items to form a pair.
12619	throw together.v	FN: cause two or more things to be merged
12620	fold.v	FN: to combine by gently adding one part to another, usually used in baking
12621	merger.n	"FN: The act of combining two or more entities into one. ""Chuck' s merger of the corpora won him an award."""
12622	combination.n	FN: The act of combining, or the result of agentive combining.
12623	bisect.v	FN: cut in two
12624	divide.v	FN: separate into parts or groups
12625	part.v	COD: move apart or divide to leave a central space. 
12626	partition.v	COD: divide into parts. 
12627	section.v	COD: divide into sections. 
12628	segment.v	COD: divide into segments. 
12629	segregate.v	COD: set apart from the rest or from each other. 
12630	separate.v	COD: divide into constituent or distinct elements.
12631	split.v	COD: divide or cause to divide into parts or groups.
12632	partition.n	COD: the action or state of dividing or being divided into parts.
12633	sever.v	FN: separate one part from another by cutting.
12634	arch.v	FN: To from or cause a curved structure.
12635	bat.v	COD: flutter (one' s eyelashes).
12636	bend.v	FN: to move a body part (usu the head or the extremities) so it forms a curve or angle with the body part it is attached to
12637	blink.v	COD: shut and open the eyes quickly.
12638	bob.v	COD: make or cause to make a quick, short movement up and down. 
12639	clap.v	FN: strike the palms of (one' s hands) together repeatedly
12640	cock.v	COD: bend a (limb or joint) at an angle.
12641	crane.v	COD: stretch out (one' s neck) in order to see something.
12642	cross.v	FN: to place a pair of extremities across each other
12643	drop.v	FN: to move lower, to cause to sink
12644	flap.v	FN: (for a body part) to move or be moved up and down or from side to side
12645	flex.v	FN: contract a muscle (often in order to bend a joint)
12646	fling.v	COD: throw forcefully; hurl.
12647	flutter.v	FN: (usu for a straight, long body part) to move with a light irregular motion
12648	gnash.v	COD: grind (one' s teeth) together, especially as a sign of anger.
12649	grind.v	COD: rub together gratingly.
12650	hang.v	FN: to allow (one' s head) to fall, droop
12651	jerk.v	COD: move quickly, sharply, suddenly
12652	lift.v	COD: raise to a higher position or level
12653	nod.v	FN: to allow (one' s head) to fall, droop
12654	pout.v	FN: to sulk
12655	pucker.v	COD: tightly gather or contract into wrinkles or small folds.
12656	purse.v	COD: (with reference to the lips) pucker or contract.
12657	roll.v	FN: move a body part on an axis, rotate
12658	shake.v	COD: move forcefully or quickly up and down or to and fro.
12659	shrug.v	COD: raise (one' s shoulders) slightly and momentarily to express doubt, ignorance, or indifference.
12660	shuffle.v	COD: restlessly shift one' s position.
12661	stretch.v	COD: straighten or extend one' s body or a part of one' s body to its full length.
12662	swing.v	FN: move or cause to move back and forth or from side to side
12663	throw.v	COD: move quickly, hurriedly, or roughly
12664	toss.v	COD: jerk (one' s head or hair) sharply backwards
12665	twitch.v	COD: make or cause to make a short, sudden jerking movement.
12666	wag.v	COD: (especially with reference to an animal' s tail) move rapidly to and fro.
12667	waggle.v	COD: move with short quick movements from side to side or up and down.
12668	wave.v	COD: move (one' s hand or arm, or something held in one' s hand) to and fro.
12669	wiggle.v	COD: move or cause to move with short movements up and down or from side to side.
12670	wink.v	COD: close and open one eye quickly, typically as a signal of affection or greeting or to convey a message.
12671	wrinkle.v	COD: make or become wrinkled.
12672	curtsy.n	COD: a woman' s or girl' s formal greeting made by bending the knees with one foot in front of the other.
12673	kneel.v	COD: fall or rest on a knee or the knees.
12674	writhe.v	COD: twist or squirm in pain or as if in pain
12675	wriggle.v	COD: twist and turn with quick writhing movements
12676	shudder.v	COD: tremble or shake convulsively, especially as a result of fear or repugnance. 
12677	fidget.v	COD: make small movements through nervousness or impatience. 
12678	yawn.v	COD: involuntarily open one' s mouth wide and inhale deeply due to tiredness or boredom.
12679	jiggle.v	"COD: move lightly and quickly from side to side or up and down. ""The car jiggled on its springs."""
12680	shiver.v	COD: shake slightly and uncontrollably as a result of being cold, frightened, or excited.
12681	curtsy.v	COD: perform a curtsy
12682	duck.v	COD: lower the head or body quickly to avoid a blow or missile or so as not to be seen.
12683	crease.v	COD: make a crease in the skin, especially the face 
12684	smack.v	COD: part (one' s lips) noisily
12685	open.v	FN: to move (a bodypart) so that it is open.
12686	close.v	FN: to move (a bodypart) so that it is closed.
12687	shut.v	FN: to move (a bodypart) such that it is closed.
12688	twiddle.v	FN: move (one' s thumbs), generally as a humorously pointless way to spend time.
12689	stamp.v	FN: bring down (one' s foot) heavily on the ground or an object, perhaps crushing, or flattening it.
12690	crinkle.v	COD: form or cause to form small creases or wrinkles.
12691	crumple.v	FN: crease or wrinkle
12692	scrunch.v	FN: squeeze together 
12693	move.v	FN: change the position/location of a body part 
12694	twist.v	FN: move part of one' s body around; writhe, wriggle.
12695	wink.n	FN: the act of closing one eye and quickly reopening it
12696	reach.v	FN: To actively extend a body part in a direction (not necessarily specified)
12697	clasp.v	COD: grasp tightly with one' s hand.
12698	claw.v	COD: try desperately to move something with the hands.
12699	clutch.v	FN: grasp and hold tightly
12700	finger.v	COD: touch or feel with the fingers.
12701	grab.v	COD: seize suddenly and roughly.
12702	grasp.v	COD: seize and hold firmly.
12703	grip.v	COD: take and keep a firm hold of; grasp tightly.
12704	knead.v	FN: work (something) with the hands
12705	massage.v	FN: rub (muscles or joints) with the hands so as to relieve tension or pain.
12706	nip.v	COD: pinch, squeeze, or bite sharp
12707	nudge.v	FN: to poke or prod
12708	paw.v	COD: feel or scrape with a paw or hoof. 
12709	pinch.v	COD: grip (the flesh) tightly and sharply between finger and thumb. 
12710	pull.v	FN: to exert force on something towards oneself 
12711	push.v	FN: exert force on something away from oneself
12712	seize.v	COD: take hold of suddenly and forcibly. 
12713	squeeze.v	COD: firmly press from opposite or all sides, typically with the fingers. 
12714	tug.v	FN: to pull on something hard and suddenly   
12715	tweak.v	COD: twist or pull with a small but sharp movement.
12716	wring.v	COD: squeeze (someone' s hand) tightly. 
12717	yank.v	FN: to tug on something causing it to move
12718	fumble.v	COD:  use the hands clumsily while doing or handling something 
12719	grope.v	COD: feel or fondle (someone) for sexual pleasure, especially against their will. 
12720	stroke.n	COD:  move one' s hand with gentle pressure over (a surface).
12721	rub.v	COD: apply firm pressure against the surface of, using a repeated back and forth motion
12722	grab hold.v	COD: grasp
12723	pull.n	COD: an act of pulling something.
12724	lick.v	COD: pass the tongue over (something), typically in order to taste, moisten, or clean it.
12725	touch.v	COD: bring one' s hand or another part of one' s body into contact with.
12726	kiss.v	COD: touch or caress with the lips as a sign of love, affection, or greeting.
12727	caress.v	COD:  touch or stroke gently or lovingly.
12728	caress.n	COD: a gentle or loving touch.
12729	stroke.v	COD: move one' s hand with gentle pressure over (a surface).
12730	diddle.v	FN: to manipulate with the finger, usually irregularly
12731	hold.v	FN: to grasp, especially with one' s hands or arms
12732	tickle.v	FN: touch lightly, often causing uncontrollable laughter and other reactions
12733	handle.v	FN: hold (esp. said of merchandise).
12734	kiss.n	FN: Touch or caress with the lips as a sign of love, care, or greeting
12735	poke.v	FN: touch somewhat forcefully with the end of a relatively long, thin object.
12736	bend.v	FN: to be in a position in which one' s body is folded, usually at the waist or the knees
12737	crouch.v	FN: to be in a position where the knees are bent and the upper body is brought forward and down. 
12738	hunch.v	FN: to sit or stand in a position in which one' s shoulders and the top of one' s body are bent forward 
12739	huddle.v	COD: curl one' s body into a small space. 
12740	kneel.v	COD: fall or rest on a knee or the knees. 
12741	lean.v	COD: be in or move into a sloping position. 
12742	lie.v	FN: to be in a horizontal position on a supporting surface
12743	sit.v	COD: to be in a position in which one' s weight is supported by one' s buttocks rather than one' s feet and one' s back is upright. 
12744	slouch.v	COD: stand, move, or sit in a lazy, drooping way. 
12745	sprawl.v	COD: sit, lie, or fall with one' s limbs spread out in an ungainly way. 
12746	squat.v	FN: to be in a position low to the ground in which one' s knees are bent and the heels close to or touching the buttocks or thighs. 
12747	stand.v	COD: be in or rise to an upright position, supported by one' s feet. 
12748	stoop.v	FN: to bend one' s body forwards and downward
12749	bent.a	COD: sharply curved or having an angle. 
12750	crouched.a	FN: in a crouching posture.
12751	huddled.a	FN: having the limbs drawn in so that the body takes up little space.
12752	hunched.a	FN: with back and shoulders bent forward.
12753	sprawled.a	FN: with one' s limbs spread out in an ungainly way
12754	slouched.a	FN: stand or sit in a lazy, drooping way with one' s muscles extremely relaxed
12755	seated.a	FN: sitting
12756	posture.n	COD: a particular position of the body.
12757	stance.n	COD: the way in which someone stands, especially when deliberately adopted.
12758	position.n	COD: a way in which someone or something is placed or arranged.
12759	cower.v	FN: to assume a posture that protects delicate organs from potential attack.
12760	shrink.v	FN: To reconfigure the body into a fetal position or into a smaller size.
12761	aware.a	COD: having knowledge or perception of a situation or fact.
12762	awareness.n	COD: awareness is a derivative of aware
12763	believe.v	COD: feel sure of the truth of.
12764	comprehend.v	COD: grasp mentally; understand.
12765	comprehension.n	COD: the action or capability of understanding.
12766	conceive.v	COD: devise in the mind; imagine.
12767	conception.n	COD:  the way in which something is perceived
12768	conscious.a	FN: having awareness or knowledge of something
12769	hunch.n	COD: a feeling or guess based on intuition.
12770	imagine.v	COD: form a mental image or concept of.
12771	know.v	COD: be aware of through observation, inquiry, or information. This verb is factive - speaker believes the proposition whether or not he is the subject.
12772	knowledge.n	FN: familiarity with, awareness of facts and ideas acquired through experience or study
12773	knowledgeable.a	COD: intelligent and well informed.
12774	presume.v	FN: assume that something is the case absent proof to the contrary
12775	presumption.n	COD: an act or instance of presuming something to be the case.
12776	reckon.v	COD: be of the opinion.
12777	supposition.n	COD: an assumption or hypothesis.
12778	suspect.v	COD: believe (something) to be probable or possible.
12779	suspicion.n	COD: a feeling that something is possible or probable or that someone is guilty of a crime or offence.
12780	think.v	FN: have a particular belief or opinion
12781	thought.n	FN: the process or result of thinking
12782	understand.v	COD: perceive the significance, explanation, or cause of.
12783	understanding.n	COD: the ability to understand something; comprehension
12784	ignorance.n	FN: the state of lacking knowledge or awareness in general.
12785	consciousness.n	COD: one' s awareness or perception of something.
12786	cognizant.a	FN: fully aware
12787	unknown.a	COD: not known or familiar.
12788	idea.n	FN: a thought as to a course of action or an event
12789	discover.v	COD: become aware of (a fact or situation). 
12790	discovery.n	COD: the action or process of discovering or being discovered.
12791	find.v	FN: to perceive a phenomenon, either by chance or deliberately 
12792	note.v	COD: pay attention to.
12793	notice.v	COD: become aware of.
12794	recognize.v	COD: identify as already known; know again.
12795	register.v	COD: become aware of. 
12796	descry.v	COD: catch sight of.
12797	spot.v	COD: see, notice, or recognize (someone or something) that is difficult to detect or sought-after.
12798	espy.v	COD: catch sight of
12799	discern.v	FN: to recognize with the eyes or other senses
12800	locate.v	FN: to discover an entity or a piece of knowledge without attempting to do so
12801	pick up.v	FN: notice
12802	spy out.v	FN: to catch sight of, discover
12803	chance (on).v	FN: discover unintentionally or unexpectedly
12804	come (across).v	FN: encounter a new phenomenon
12805	come (upon).v	FN: discover a new phenomenon.
12806	chance (across).v	FN: to encounter a new phenomenon and attribute the encounter to luck
12807	detect.v	COD: discover or identify the presence or existence of.
12808	encounter.v	FN: unexpectedly discover
12809	fall (on).v	FN: (usually of eyes) encounter unexpectedly
12810	happen (on).v	COD:  come across by chance.
12811	learn.v	COD: become aware of by information or from observation.  
12812	observe.v	FN: detect a phenomenon
12813	perceive.v	COD: become aware or conscious of.
12814	find out.v	FN: discover information or a fact.
12815	tell.v	FN: to recognize with one or more of the senses
12816	find (oneself).v	FN: to percieve oneself as being in a certain location or state
12817	categorization.n	FN: the act of categorizing
12818	categorize.v	COD: place in a particular category; classify.
12819	class.v	COD: assign or regard as belonging to a particular category.
12820	classification.n	COD: a category into which something is put
12821	classify.v	COD: assign (someone or something) to a particular class or category
12822	construe.v	COD: interpret in a particular way.
12823	interpret.v	COD: understand as having a particular meaning or significance
12824	interpretation.n	FN: explanation; the act or result of interpreting
12825	perceive.v	COD: regard as
12826	regard.v	COD: consider in a particular way.
12827	translate.v	FN: to understand as having a certain meaning
12828	count.v	COD: regard or be regarded as possessing a quality or fulfilling a role
12829	peg.v	FN: to place in a particular category
12830	pigeonhole.v	COD: assign to a particular category, especially an overly restrictive one
12831	stereotype.v	COD: view or represent as a stereotype
12832	typecast.v	COD:  regard as fitting a stereotype
12833	understand.v	COD: interpret or view in a particular way. 
12834	conceive.v	FN: to categorize by mentally classifying
12835	consider.v	COD: believe to be.
12836	define.v	FN: distinguish or characterize
12837	view.v	COD: regard in a particular light or with a particular attitude.
12838	render.v	FN: declare an item (as being part of some category)
12839	see.v	COD: regard in a specified way.
12840	identify.v	FN: recognize or categorize (often a particular instance of something) as being in a category.
12841	deem.v	COD regard or consider in a specified way.
12842	bracket.v	FN: consider to be a member of a group or type.
12843	read.v	FN: to interpret in a certain way
12844	category.n	FN: Classifications created by shared similarity 
12845	brood.v	COD: think deeply about something that makes one unhappy.
12846	consider.v	FN: take facts into account in a reasoning process
12847	consideration.n	COD: careful thought
12848	contemplate.v	COD: think about
12849	contemplation.n	COD: the action of contemplating.
12850	deliberate.v	COD: engage in long and careful consideration
12851	deliberation.n	COD: the action or process of engaging in long and careful consideration
12852	dwell.v	COD: think, speak, or write at length about.
12853	meditate.v	COD: think carefully about
12854	meditation.n	COD: a discourse expressing considered thoughts on a subject
12855	mull over.v	COD: think about at length.
12856	muse.v	COD:  be absorbed in thought.
12857	ponder.v	COD: consider carefully
12858	reflect.v	COD: think deeply or carefully about. 
12859	reflection.n	COD: serious thought or consideration.
12860	ruminate.v	COD: think deeply about something.
12861	wonder.v	FN: consider (an open proposition) in order to figure (the proposition) out
12862	think.v	COD: direct one' s mind towards someone or something; use one' s mind actively to form connected ideas
12863	give thought.idio	FN: give careful consideration or attention.
12864	thought.n	COD: an idea or opinion produced by thinking or occurring suddenly in the mind.
12865	ascertain.v	COD: get to know.
12866	conclude.v	COD: arrive at a judgement or opinion by reasoning.
12867	conclusion.n	COD: a judgement or decision reached by reasoning
12868	deduce.v	COD: arrive at (a fact or a conclusion) by reasoning.
12869	deduction.n	COD: a conclusion that has been deduced
12870	guess.n	COD: an estimate or conjecture
12871	guess.v	COD: estimate or suppose (something) without sufficient information to be sure of being correct
12872	infer.v	COD: deduce from evidence and reasoning rather than from explicit statements.
12873	inference.n	COD: a conclusion reached on the basis of evidence and reasoning.
12874	learn.v	COD: acquire knowledge of or skill in (something) through study or experience or by being taught
12875	realization.n	COD: realization is a derivative of realize
12876	realize.v	COD: become fully aware of as a fact; understand clearly.
12877	surmise.v	COD: suppose without having evidence.
12878	figure out.v	COD: reach an understanding of someone or something
12879	find.v	FN: to ascertain information or a fact, usually by reasoning because of a piece of evidence
12880	puzzle out.v	FN: figure out
12881	work out.v	FN: figure out
12882	determine.v	COD: ascertain or establish by research or calculation.
12883	speculate.v	COD: form a theory or conjecture without firm evidence.
12884	strike.v	FN: coming to a sudden realization. 
12885	gather.v	FN: to infer from context
12886	differentiate.v	COD: find differences (between)
12887	discriminate.v	COD: recognize a distinction.
12888	discrimination.n	COD: recognition and understanding of the difference between one thing and another
12889	distinguish.v	COD: see or point out the difference of
12890	sort.v	FN: select  from a miscellaneous group
12891	tell apart.v	FN: distinguish.
12892	separate.v	FN: distinguish
12893	know.v	FN: distinguish (usually of the form X knows Y from Z)
12894	tell from.v	FN: distinguish some thing from another
12895	distinguishable.a	FN: able to be separated into separate identities.
12896	argument.n	COD: a set of reasons given in support of something.
12897	attest.v	COD: provide or serve as clear evidence of. 
12898	confirm.v	FN: to establish the truth or correctness of by means of evidence 
12899	corroborate.v	COD: confirm or give support to (a statment or theory)
12900	demonstrate.v	COD:  clearly show the existence or truth of. 
12901	evidence.v	COD: be or show evidence of. 
12902	evince.v	COD: reveal the presence of; indicate (a quality or feeling). 
12903	prove.v	COD: demonstrate by evidence or argument the truth or existence of. 
12904	reveal.v	FN: disclose or make known.
12905	show.v	FN: act as evidence or serve as proof of something
12906	substantiate.v	COD: provide evidence to support or prove the truth of. 
12907	testify.v	COD: serve as evidence or proof of something. 
12908	verify.v	FN: to prove accurate or true by means of a piece of evidence
12909	disprove.v	FN: to prove something to be false as a piece of evidence
12910	contradict.v	FN: the truth of (a statement) by asserting the opposite
12911	argue.v	FN: to be evidence for a conclusion
12912	mean.v	FN: indicate a fact 
12913	evidence.n	COD:  information indicating whether a belief or proposition is true or valid. 
12914	from.prep	FN: indicating source of evidence
12915	suggest.v	COD: cause one to think that (something) exists or is the case; evoke.
12916	indicate.v	COD: be a sign or symptom of; strongly imply.
12917	imply.v	COD: (of a fact or occurrence) suggest as a logical consequence.
12918	proof.n	COD: evidence establishing a fact or the truth of a statement.
12919	illustrate.v	COD: serve as an example of.
12920	point (to).v	FN: (of some fact or state of affairs) to provide evidence for a conclusion.
12921	credence [lend].n	"FN: (in construction with ""lend"") believability, likelihood of being true."
12922	support.v	FN: speaks to the truth of some claim by acting as evidence in corroboration of it.
12923	tell.v	FN: to be evidence for a conclusion
12924	rule out.v	FN: to be rejected from a list of possible options by a non-agentive entity
12925	demonstration.n	FN: To show to be true
12926	assure.v	FN: (of a fact or situation) show (someone) that something is true.
12927	anticipate.v	COD: regard as probable
12928	await.v	COD: wait for
12929	expect.v	COD: regard as likely to happen, do, or be the case.
12930	foresee.v	COD: be aware of beforehand; predict.
12931	predict.v	COD: state that (a specified event) will happen in the future.
12932	predictable.a	COD: able to be predicted
12933	unpredictable.a	COD: not able to be predicted; changeable
12934	unforeseeable.a	FN: which cannot be foreseen
12935	foreseeable.a	FN: able to be anticipated
12936	expectation.n	COD: belief that something will happen or be the case.
12937	prediction.n	FN: a specific idea of what will happen.
12938	premonition.n	COD: a strong feeling that something is about to happen.
12939	unexpected.a	COD: not expected or regarded as likely to happen.
12940	wait.v	FN: to expect an event or phenomenon to occur
12941	conceive.v	COD: devise in the mind; imagine
12942	concoct.v	COD: create or devise (a story or plan)
12943	concoction.n	FN: the process or result of creating or devising (a story or plan)
12944	contrivance.n	COD: the action of devising or planning something using skill and artifice. 
12945	contrive.v	COD: devise or plan using skill and artifice
12946	cook up.v	COD: concoct a story, excuse, or plan, especially an ingenious or devious one.
12947	design.v	FN: to invent, plan something for a particular purpose
12948	devise.v	COD: plan or invent (a complex procedure or mechanism).
12949	formulate.v	COD: create or prepare methodically
12950	hatch.v	COD: conspire to devise (a plot or plan).
12951	improvise.v	COD: produce or make (something) from whatever is available.
12952	invent.v	COD:  make up (a name, story, plan, etc.)
12953	invention [process].n	FN: the action of creating, making up, or designing something
12954	come up.v	FN: invent; make up (an idea, a story, etc.)
12955	think up.v	FN: come up with (an idea, a story, etc.)
12956	design.n	FN: the art or action of conceiving of and producing a plan or drawing before something is built
12957	invention [artifact].n	FN: the entity produced by the invention process.
12958	find.v	FN: to arrive at an idea
12959	admiration.n	FN: positive response (emotional or spoken) to the good qualities of someone or something
12960	admire.v	COD: regard with respect or warm approval
12961	admiring.a	FN: feeling admiration
12962	applaud.v	COD: show approval by clapping.
12963	appreciate.v	FN: value somebody or something for a quality possessed
12964	appreciation.n	FN: Perceptive recognition of value, significance or qualities.
12965	approbation.n	COD: approval; praise.
12966	approving.a	FN: to be in a state of having judged something as good or right, to authorise
12967	blame.n	COD:  responsibility for a fault or wrong.
12968	blame.v	FN: to assign responsibility for a wrong-doing, without expressing so
12969	contempt.n	COD: the feeling that a person or a thing is worthless or beneath consideration
12970	contemptuous.a	FN: expressing contempt
12971	critical.a	COD: expressing adverse or disapproving comments or judgements
12972	damnation.n	COD: condemnation to eternal punishment in hell
12973	deplore.v	COD:  feel or express strong disapproval of.
12974	derisive.a	COD: expressing contempt or ridicule.
12975	disapproval.n	FN: the act or state of disapproving
12976	disapprove.v	COD: have or express an unfavourable opinion.
12977	disapproving.a	FN: expressing disapproval
12978	disdain.n	COD: the feeling that someone or something is unworthy of one' s consideration or respect.
12979	disdain.v	COD: consider or reject with the feeling that someone or something is unworthy of one' s consideration or respect
12980	disdainful.a	FN: full of or expressing disdain
12981	disrespect.n	COD: lack of respect or courtesy. 
12982	esteem.n	COD:  respect and admiration. 
12983	esteem.v	COD:  respect and admire. 
12984	fault.n	COD: an unattractive or unsatisfactory feature
12985	fault.v	COD: criticize for inadequacy or mistakes.
12986	mock.v	COD:  tease scornfully; ridicule
12987	reproachful.a	COD: full of reproach towards (someone)
12988	scorn.n	COD: contempt or disdain expressed openly
12989	scorn.v	COD: express scorn for
12990	scornful.a	FN: full of or expressing scorn
12991	stigma.n	COD: a mark of disgrace associated with a particular circumstance, quality, or person.
12992	stigmatize.v	COD: regard as worthy of disgrace.
12993	stricture.n	COD:  a sternly critical remark
12994	uncritical.a	COD: not expressing criticism or using one' s critical faculties.
12995	exalt.v	COD: praise or regard highly. 
12996	prize.v	COD: value highly.
12997	boo.v	COD: show disapproval or contempt.
12998	revere.v	COD: respect or admire deeply. 
12999	reverence.n	COD: deep respect.
13000	mockery.n	COD: mass noun ridicule
13001	exaltation.n	COD: the action of exalting.
13002	accolade.n	COD: something granted as a special honour or in recognition of merit.
13003	vilification.n	COD: the  of speaking or writing about someone in a abusively disparaging manner. 
13004	value.v	COD: consider to be important or beneficial
13005	respect.n	COD: a feeling of deep admiration for someone elicited by their qualities or achievements.
13006	respect.v	COD: feel or have respect for.
13007	deify.v	COD: make into or worship as a god. 
13008	reproach.n	FN: a feeling of disapproval or disappointment. 
13009	reprehensible.a	FN: judged to be deserving of condemnation
13010	appreciative.a	COD:  feeling or showing gratitude or pleasure. 
13011	set store.v	COD: consider to be of a particular degree of importance
13012	accuse.v	COD: claim that someone has done something wrong.
13013	approve.v	FN: have a positive opinion (of a person or their actions).
13014	absent-minded.a	COD: forgetful.
13015	absurd.a	COD: wildly unreasonable, illogical, or inappropriate
13016	absurdity.n	FN: wild inappropriateness or incongruity
13017	astute.a	COD: having an ability to assess situations or people accurately.
13018	astuteness.n	COD: astuteness is a derivative of astute
13019	brainless.a	COD: stupid; foolish.
13020	brilliance.n	COD: brilliance is a derivative of brilliant
13021	brilliant.a	COD: exceptionally clever or talented.
13022	broad-minded.a	COD: tolerant or liberal.
13023	bull-headed.a	FN: obstinate, headstrong, stubborn
13024	canny.a	COD: shrewd, especially in financial or business matters.
13025	careless.a	COD: not giving sufficient attention or thought to avoiding harm or mistakes.
13026	carelessness.n	COD: carelessness is a derivative of careless
13027	crafty.a	COD: cunning or deceitful.
